SKU,Quantity,Attribute1Values
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
66B404M-03,12,"7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M,12.5M,13M"
34R13-44S,7,"5M,6M,6.5M,7M,7.5M,8M,10M"
66CH03-51,11,"CH/12M,CH/13M,CH/1M,2M,3M,4M,5M,6M,7M,8M,9M,10M"
66CH03-51,11,"CH/12M,CH/13M,CH/1M,2M,3M,4M,5M,6M,7M,8M,9M,10M"
16SSFL-08,1,WO/SM
16SSFS-01F,3,"WO/SM,WO/MED/,WO/LG"
16SSFS-66,4,"CH/MED,CH/LG,WO/MED/WO/LG"
16SSMT-04,2,"WO/SM,WO/MED"
16SSSCL-01,5,"WO/PET,WO/SM,WO/MED,WO/LG,WO/XL"
33VWB-51,3,
62GWB-06,12,ADULT ONE SIZE
69D42-03,12,"5M,5.5M,6M,6.5M,7M,7.5M,8M,9M,9.5M,10M,10.5M,11M,12M"
58CV2-03E,4,"23.5 D,24 D,24.5 D,25 D"
57FLS2-03E,5,"3.5D,4D,4.5D,5D,5.5D"
